I0514 21:30:11.550177       1 transport_parameters.cc:1293] Serialized [Server [chosen_version 00000001 other_versions 00000001,ff00001d] original_destination_connection_id b638254843c3706e max_idle_timeout 600000 stateless_reset_token ee762d04a8143420ad9765834a6e8dce max_udp_payload_size 1472 initial_max_data 1048576 initial_max_stream_data_bidi_local 65536 initial_max_stream_data_bidi_remote 65536 initial_max_stream_data_uni 65536 initial_max_streams_bidi 100 initial_max_streams_uni 103 preferred_address [0.0.0.0:0 [fd00:abcd::1:1]:4433 connection_id de6a82c979c9ca4e stateless_reset_token 3687498810f7cfd02b98656475c3681d] initial_source_connection_id b638254843c3706e max_datagram_frame_size 65536] as 172 bytes
I0514 21:30:11.560081       1 quic_control_frame_manager.cc:168] Writing SPA frame
I0514 21:30:11.560108       1 quic_packet_creator.cc:1996] Server: Adding frame with transmission type NOT_RETRANSMISSION: type { SPA_FRAME } { control_frame_id: 101, ipv4_address: 0.0.0.0:0, ipv6_address: [fd00:abcd::1:ac]:4433 }
I0514 21:30:11.614352       1 quic_connection.cc:7186] Server: Send PATH_RESPONSE to [fd00:abcd::3]:48476
I0514 21:30:11.614357       1 quic_packet_creator.cc:1996] Server: Adding frame with transmission type NOT_RETRANSMISSION: type { PATH_RESPONSE } { control_frame_id: 0, data: 5bf5d584c29435a6 }
I0514 21:30:11.614628       1 quic_control_frame_manager.cc:168] Writing SPA frame
I0514 21:30:11.614644       1 quic_packet_creator.cc:1996] Server: Adding frame with transmission type NOT_RETRANSMISSION: type { SPA_FRAME } { control_frame_id: 102, ipv4_address: 0.0.0.0:0, ipv6_address: [fd00:abcd::1:fc]:4433 }
I0514 21:30:11.615315       1 quic_control_frame_manager.cc:168] Writing SPA frame
I0514 21:30:11.615331       1 quic_packet_creator.cc:1996] Server: Adding frame with transmission type NOT_RETRANSMISSION: type { SPA_FRAME } { control_frame_id: 103, ipv4_address: 0.0.0.0:0, ipv6_address: [fd00:abcd::1:12]:4433 }
I0514 21:30:11.616414       1 quic_control_frame_manager.cc:168] Writing SPA frame
I0514 21:30:11.616426       1 quic_packet_creator.cc:1996] Server: Adding frame with transmission type NOT_RETRANSMISSION: type { SPA_FRAME } { control_frame_id: 105, ipv4_address: 0.0.0.0:0, ipv6_address: [fd00:abcd::1:56]:4433 }
I0514 21:30:11.616596       1 quic_connection.cc:7186] Server: Send PATH_RESPONSE to [fd00:abcd::3]:42743
I0514 21:30:11.616600       1 quic_packet_creator.cc:1996] Server: Adding frame with transmission type NOT_RETRANSMISSION: type { PATH_RESPONSE } { control_frame_id: 0, data: 3eb31472ebef2c13 }
I0514 21:30:11.617163       1 quic_control_frame_manager.cc:168] Writing SPA frame
I0514 21:30:11.617189       1 quic_packet_creator.cc:1996] Server: Adding frame with transmission type NOT_RETRANSMISSION: type { SPA_FRAME } { control_frame_id: 107, ipv4_address: 0.0.0.0:0, ipv6_address: [fd00:abcd::1:b2]:4433 }
I0514 21:30:11.617526       1 quic_connection.cc:7186] Server: Send PATH_RESPONSE to [fd00:abcd::3]:49559
I0514 21:30:11.617538       1 quic_packet_creator.cc:1996] Server: Adding frame with transmission type NOT_RETRANSMISSION: type { PATH_RESPONSE } { control_frame_id: 0, data: 269e96049d36a581 }
I0514 21:30:11.618261       1 quic_control_frame_manager.cc:168] Writing SPA frame
I0514 21:30:11.618275       1 quic_packet_creator.cc:1996] Server: Adding frame with transmission type NOT_RETRANSMISSION: type { SPA_FRAME } { control_frame_id: 109, ipv4_address: 0.0.0.0:0, ipv6_address: [fd00:abcd::1:5a]:4433 }
I0514 21:30:11.618681       1 quic_connection.cc:7186] Server: Send PATH_RESPONSE to [fd00:abcd::3]:46755
